Algorithm,Mean CPU,Mean Core,N/A,N/A,Time
fannkuch-redux , 317.024353027343750000, 304.800903320312500000,  ,  ,  5274.9 
fannkuch-redux , 302.013671875000000000, 293.012329101562500000,  ,  ,  5138.12 
fannkuch-redux , 309.046875000000000000, 298.978576660156250000,  ,  ,  5230.13 
fannkuch-redux , 317.404663085937500000, 307.087951660156250000,  ,  ,  5338.99 
fannkuch-redux , 317.816223144531250000, 307.610229492187500000,  ,  ,  5345.16 
fannkuch-redux , 307.206909179687500000, 297.605651855468750000,  ,  ,  5181.86 
fannkuch-redux , 308.769409179687500000, 299.286621093750000000,  ,  ,  5179.55 
fannkuch-redux , 308.910949707031250000, 300.136779785156250000,  ,  ,  5186.52 
fannkuch-redux , 311.813110351562500000, 302.421081542968750000,  ,  ,  5198.62 
fannkuch-redux , 310.393493652343750000, 301.075378417968750000,  ,  ,  5122.96 
binary-trees , 106.422912597656250000, 99.213745117187500000,  ,  ,  2337.19 
binary-trees , 104.919128417968750000, 98.290954589843750000,  ,  ,  2287.98 
binary-trees , 105.087890625000000000, 98.035522460937500000,  ,  ,  2282.55 
binary-trees , 100.364196777343750000, 94.134094238281250000,  ,  ,  2195.64 
binary-trees , 100.303283691406250000, 94.010498046875000000,  ,  ,  2234.79 
binary-trees , 101.825439453125000000, 95.570922851562500000,  ,  ,  2204.22 
binary-trees , 107.421875000000000000, 100.479187011718750000,  ,  ,  2335.36 
binary-trees , 110.597351074218750000, 103.070312500000000000,  ,  ,  2335.01 
binary-trees , 101.917480468750000000, 95.286193847656250000,  ,  ,  2211.36 
binary-trees , 102.027709960937500000, 95.358032226562500000,  ,  ,  2218.93 
mandelbrot , 120.307373046875000000, 116.276550292968750000,  ,  ,  2237.71 
mandelbrot , 121.731628417968750000, 117.768920898437500000,  ,  ,  2239.34 
mandelbrot , 123.314819335937500000, 119.176574707031250000,  ,  ,  2268.22 
mandelbrot , 125.344726562500000000, 120.499877929687500000,  ,  ,  2277.3 
mandelbrot , 124.237426757812500000, 119.882507324218750000,  ,  ,  2289.82 
mandelbrot , 124.068237304687500000, 119.868041992187500000,  ,  ,  2267.58 
mandelbrot , 122.935668945312500000, 118.813964843750000000,  ,  ,  2254.83 
mandelbrot , 125.651977539062500000, 120.857788085937500000,  ,  ,  2293.71 
mandelbrot , 122.247680664062500000, 118.302001953125000000,  ,  ,  2256.32 
mandelbrot , 127.816284179687500000, 123.540527343750000000,  ,  ,  2317.91 
spectral-norm , 24.822021484375000000, 23.946105957031250000,  ,  ,  499.31 
spectral-norm , 25.358276367187500000, 24.345947265625000000,  ,  ,  500.27 
spectral-norm , 25.392333984375000000, 24.455139160156250000,  ,  ,  495.759 
spectral-norm , 24.652587890625000000, 23.808898925781250000,  ,  ,  488.083 
spectral-norm , 26.541076660156250000, 25.588195800781250000,  ,  ,  522.877 
spectral-norm , 24.711425781250000000, 23.847717285156250000,  ,  ,  488.176 
spectral-norm , 25.737548828125000000, 24.818176269531250000,  ,  ,  508.576 
spectral-norm , 25.658996582031250000, 24.767578125000000000,  ,  ,  504.174 
spectral-norm , 25.553955078125000000, 24.655273437500000000,  ,  ,  510.221 
spectral-norm , 31.475708007812500000, 30.352355957031250000,  ,  ,  609.832 
