Algorithm,Mean CPU,Mean Core,N/A,N/A,Time
fannkuch-redux , 725.944335937500000000, 675.758666992187500000,  ,  ,  28870.5 
fannkuch-redux , 722.969604492187500000, 672.679443359375000000,  ,  ,  28370.9 
fannkuch-redux , 792.860900878906250000, 738.472045898437500000,  ,  ,  28895.4 
fannkuch-redux , 779.676147460937500000, 723.464233398437500000,  ,  ,  29136.8 
fannkuch-redux , 747.022338867187500000, 694.287353515625000000,  ,  ,  28714.9 
fannkuch-redux , 812.397216796875000000, 756.953857421875000000,  ,  ,  29297.9 
fannkuch-redux , 900.768127441406250000, 841.317626953125000000,  ,  ,  29867.5 
fannkuch-redux , 846.739562988281250000, 789.550720214843750000,  ,  ,  29569 
fannkuch-redux , 779.878662109375000000, 726.559814453125000000,  ,  ,  29081.7 
fannkuch-redux , 775.117370605468750000, 721.817138671875000000,  ,  ,  30024.6 
binary-trees , 451.213073730468750000, 417.628967285156250000,  ,  ,  13864.8 
binary-trees , 452.788146972656250000, 418.846374511718750000,  ,  ,  13641 
binary-trees , 422.995117187500000000, 392.411010742187500000,  ,  ,  13028.5 
binary-trees , 424.321838378906250000, 393.725646972656250000,  ,  ,  13116 
binary-trees , 446.848083496093750000, 413.905029296875000000,  ,  ,  13440.1 
binary-trees , 492.962341308593750000, 456.230895996093750000,  ,  ,  14425.8 
binary-trees , 425.506042480468750000, 395.640014648437500000,  ,  ,  13093 
binary-trees , 426.281433105468750000, 395.771301269531250000,  ,  ,  12995.6 
binary-trees , 422.649230957031250000, 391.043151855468750000,  ,  ,  13139.3 
binary-trees , 408.476440429687500000, 379.045410156250000000,  ,  ,  12739.3 
mandelbrot , 201.381408691406250000, 192.707397460937500000,  ,  ,  3739.08 
mandelbrot , 190.685058593750000000, 183.318969726562500000,  ,  ,  3641.31 
mandelbrot , 187.777282714843750000, 180.940307617187500000,  ,  ,  3620.34 
mandelbrot , 186.579040527343750000, 179.846496582031250000,  ,  ,  3558.22 
mandelbrot , 188.916320800781250000, 181.990600585937500000,  ,  ,  3601.22 
mandelbrot , 189.070678710937500000, 182.040588378906250000,  ,  ,  3682.79 
mandelbrot , 202.316528320312500000, 193.555847167968750000,  ,  ,  3868.26 
mandelbrot , 184.409729003906250000, 177.261169433593750000,  ,  ,  3514.41 
mandelbrot , 188.204528808593750000, 181.337890625000000000,  ,  ,  3560.99 
mandelbrot , 189.331054687500000000, 182.359497070312500000,  ,  ,  3678.83 
spectral-norm , 66.655883789062500000, 62.411621093750000000,  ,  ,  2533.36 
spectral-norm , 67.616149902343750000, 63.312683105468750000,  ,  ,  2561.74 
spectral-norm , 66.846435546875000000, 62.578247070312500000,  ,  ,  2541.08 
spectral-norm , 64.042602539062500000, 59.691223144531250000,  ,  ,  2571.1 
spectral-norm , 65.866210937500000000, 61.501831054687500000,  ,  ,  2556.67 
spectral-norm , 66.009460449218750000, 61.674743652343750000,  ,  ,  2548.12 
spectral-norm , 65.603759765625000000, 61.341979980468750000,  ,  ,  2538.22 
spectral-norm , 65.316894531250000000, 61.076782226562500000,  ,  ,  2529 
spectral-norm , 65.240173339843750000, 60.947448730468750000,  ,  ,  2550.74 
spectral-norm , 75.716918945312500000, 70.614746093750000000,  ,  ,  2715.14 
