Algorithm,Mean CPU,Mean Core,N/A,N/A,Time
fannkuch-redux , 12115.842834472656250000, 11789.150024414062500000,  ,  ,  194852 
fannkuch-redux , 12370.945800781250000000, 12040.538574218750000000,  ,  ,  194930 
fannkuch-redux , 11602.096252441406250000, 11261.896057128906250000,  ,  ,  200388 
fannkuch-redux , 10743.926879882812500000, 10392.852905273437500000,  ,  ,  206739 
fannkuch-redux , 9744.351257324218750000, 9372.771423339843750000,  ,  ,  217568 
fannkuch-redux , 9670.573974609375000000, 9303.118530273437500000,  ,  ,  214642 
fannkuch-redux , 9680.907165527343750000, 9310.304992675781250000,  ,  ,  216173 
fannkuch-redux , 9708.484436035156250000, 9338.441040039062500000,  ,  ,  215535 
fannkuch-redux , 9693.509277343750000000, 9322.292907714843750000,  ,  ,  216032 
fannkuch-redux , 9716.521545410156250000, 9344.711975097656250000,  ,  ,  216164 
binary-trees , 1209.353393554687500000, 1161.492980957031250000,  ,  ,  23071.1 
binary-trees , 1066.509338378906250000, 1017.277587890625000000,  ,  ,  23826.3 
binary-trees , 1075.580932617187500000, 1026.177856445312500000,  ,  ,  23988.9 
binary-trees , 1067.641418457031250000, 1018.448242187500000000,  ,  ,  23811.9 
binary-trees , 1069.431762695312500000, 1020.286376953125000000,  ,  ,  23836.2 
binary-trees , 1067.983886718750000000, 1018.791870117187500000,  ,  ,  23818.8 
binary-trees , 1066.411010742187500000, 1017.274963378906250000,  ,  ,  23782.3 
binary-trees , 1067.514282226562500000, 1018.419555664062500000,  ,  ,  23798.6 
binary-trees , 1073.093444824218750000, 1023.576721191406250000,  ,  ,  23945.4 
binary-trees , 1061.713500976562500000, 1012.694885253906250000,  ,  ,  23662.8 
mandelbrot , 5459.890563964843750000, 5257.699462890625000000,  ,  ,  117403 
mandelbrot , 5327.763671875000000000, 5123.531250000000000000,  ,  ,  118602 
mandelbrot , 5253.497314453125000000, 5052.058105468750000000,  ,  ,  116952 
mandelbrot , 5315.728698730468750000, 5111.795349121093750000,  ,  ,  118341 
mandelbrot , 5300.553833007812500000, 5097.196105957031250000,  ,  ,  117995 
mandelbrot , 5324.908081054687500000, 5120.605163574218750000,  ,  ,  118539 
mandelbrot , 5306.001098632812500000, 5102.332641601562500000,  ,  ,  118123 
mandelbrot , 5314.703979492187500000, 5110.711669921875000000,  ,  ,  118318 
mandelbrot , 5247.451538085937500000, 5046.006225585937500000,  ,  ,  116816 
mandelbrot , 5267.288757324218750000, 5065.072937011718750000,  ,  ,  117261 
pidigits , 3.516235351562500000, 3.289428710937500000,  ,  ,  138.899 
pidigits , 2.114257812500000000, 1.992919921875000000,  ,  ,  81.957 
pidigits , 2.130554199218750000, 2.003479003906250000,  ,  ,  81.876 
pidigits , 2.158325195312500000, 2.010375976562500000,  ,  ,  80.789 
pidigits , 2.187744140625000000, 2.025817871093750000,  ,  ,  82.493 
pidigits , 2.144287109375000000, 2.006103515625000000,  ,  ,  81.299 
pidigits , 2.229553222656250000, 2.087463378906250000,  ,  ,  83.49 
pidigits , 2.142456054687500000, 1.974792480468750000,  ,  ,  82.242 
pidigits , 2.046936035156250000, 1.917663574218750000,  ,  ,  80.556 
pidigits , 2.173461914062500000, 2.017578125000000000,  ,  ,  81.629 
spectral-norm , 3223.406616210937500000, 3112.178161621093750000,  ,  ,  64501.2 
spectral-norm , 3003.352600097656250000, 2887.955871582031250000,  ,  ,  66855.8 
spectral-norm , 2948.432434082031250000, 2835.136535644531250000,  ,  ,  65639.1 
spectral-norm , 2980.671569824218750000, 2866.106140136718750000,  ,  ,  66355.9 
spectral-norm , 2936.813842773437500000, 2823.859436035156250000,  ,  ,  65380.1 
spectral-norm , 2947.658020019531250000, 2834.376464843750000000,  ,  ,  65612.9 
spectral-norm , 2958.487792968750000000, 2844.703552246093750000,  ,  ,  65858 
spectral-norm , 2989.401489257812500000, 2874.468994140625000000,  ,  ,  66546 
spectral-norm , 2937.985656738281250000, 2825.021789550781250000,  ,  ,  65404.3 
spectral-norm , 2935.160400390625000000, 2822.329589843750000000,  ,  ,  65336.8 
